model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-5-sonnet-20241022,87.7,86.18,89.09,"(-1.52, +1.39)",691.0,2025-03-05
claude-3-5-sonnet-20240620,83.74,81.5,85.59,"(-2.24, +1.85)",567.0,2025-03-05
o1-preview-2024-09-12,82.9,80.33,84.79,"(-2.57, +1.89)",1193.0,2025-03-05
o1-mini-2024-09-12,80.61,76.8,83.02,"(-3.81, +2.41)",1399.0,2025-03-05
gpt-4-turbo-2024-04-09,75.27,71.71,77.24,"(-3.56, +1.97)",662.0,2025-03-05
gpt-4-0125-preview,74.73,71.59,76.85,"(-3.14, +2.12)",619.0,2025-03-05
athene-v2-chat,73.12,69.52,75.36,"(-3.60, +2.24)",884.0,2025-03-05
llama-3.1-nemotron-70b-instruct,72.45,69.7,74.56,"(-2.75, +2.11)",869.0,2025-03-05
gpt-4o-2024-08-06,72.2,69.21,74.55,"(-2.99, +2.35)",594.0,2025-03-05
gpt-4o-2024-05-13,71.05,68.14,73.08,"(-2.91, +2.03)",696.0,2025-03-05
athene-70b-0725,70.3,67.87,72.51,"(-2.43, +2.21)",683.0,2025-03-05
llama-3.1-405b-instruct-fp8,69.02,66.04,70.98,"(-2.98, +1.96)",658.0,2025-03-05
yi-lightning,68.12,64.52,70.79,"(-3.60, +2.67)",875.0,2025-03-05
claude-3-opus-20240229,68.01,65.37,70.28,"(-2.64, +2.27)",541.0,2025-03-05
yi-large-preview,66.88,63.87,69.96,"(-3.01, +3.08)",720.0,2025-03-05
gpt-4o-mini-2024-07-18,65.02,62.77,68.14,"(-2.25, +3.12)",668.0,2025-03-05
gemini-1.5-pro-api-0514,64.71,62.33,67.43,"(-2.38, +2.72)",676.0,2025-03-05
mistral-large-2407,64.54,61.36,67.8,"(-3.18, +3.26)",623.0,2025-03-05
qwen2.5-72b-instruct,64.54,61.1,67.02,"(-3.44, +2.48)",821.0,2025-03-05
glm-4-0520,63.54,61.04,65.61,"(-2.50, +2.07)",636.0,2025-03-05
llama-3.1-405b-instruct-fp8-no-sys-prompt,61.93,58.81,64.25,"(-3.12, +2.32)",635.0,2025-03-05
yi-large,61.21,59.1,63.97,"(-2.11, +2.76)",626.0,2025-03-05
deepseek-coder-v2,59.51,56.33,62.35,"(-3.18, +2.84)",578.0,2025-03-05
glm-4-0116,56.54,53.1,60.33,"(-3.44, +3.79)",622.0,2025-03-05
llama-3.1-70b-instruct,53.86,51.09,56.48,"(-2.77, +2.62)",628.0,2025-03-05
glm-4-air,52.68,49.5,54.45,"(-3.18, +1.77)",619.0,2025-03-05
claude-3-sonnet-20240229,52.37,50.05,54.92,"(-2.32, +2.55)",552.0,2025-03-05
qwen2-72b-instruct,51.45,48.4,53.87,"(-3.05, +2.42)",515.0,2025-03-05
