model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-5-sonnet-20241022,86.91,85.54,88.41,"(-1.37, +1.50)",691.0,2025-02-15
claude-3-5-sonnet-20240620,82.8,81.09,84.52,"(-1.71, +1.72)",567.0,2025-02-15
o1-preview-2024-09-12,81.84,79.35,83.64,"(-2.49, +1.80)",1193.0,2025-02-15
o1-mini-2024-09-12,79.27,76.37,81.8,"(-2.90, +2.53)",1399.0,2025-02-15
gpt-4-turbo-2024-04-09,74.23,71.71,76.6,"(-2.52, +2.37)",662.0,2025-02-15
gpt-4-0125-preview,73.7,71.7,75.79,"(-2.00, +2.09)",619.0,2025-02-15
athene-v2-chat,71.81,69.11,74.63,"(-2.70, +2.82)",884.0,2025-02-15
gpt-4o-2024-08-06,71.23,68.47,73.54,"(-2.76, +2.31)",594.0,2025-02-15
llama-3.1-nemotron-70b-instruct,71.01,67.62,73.88,"(-3.39, +2.87)",869.0,2025-02-15
gpt-4o-2024-05-13,69.89,67.7,72.13,"(-2.19, +2.24)",696.0,2025-02-15
athene-70b-0725,68.82,66.22,71.52,"(-2.60, +2.70)",683.0,2025-02-15
llama-3.1-405b-instruct-fp8,67.66,65.08,70.07,"(-2.58, +2.41)",658.0,2025-02-15
yi-lightning,66.66,63.48,68.41,"(-3.18, +1.75)",875.0,2025-02-15
claude-3-opus-20240229,66.42,64.45,68.5,"(-1.97, +2.08)",541.0,2025-02-15
yi-large-preview,65.43,63.08,67.79,"(-2.35, +2.36)",720.0,2025-02-15
gpt-4o-mini-2024-07-18,63.79,61.19,66.04,"(-2.60, +2.25)",668.0,2025-02-15
mistral-large-2407,63.29,61.07,65.9,"(-2.22, +2.61)",623.0,2025-02-15
gemini-1.5-pro-api-0514,63.19,60.61,66.08,"(-2.58, +2.89)",676.0,2025-02-15
qwen2.5-72b-instruct,63.11,59.98,65.94,"(-3.13, +2.83)",821.0,2025-02-15
glm-4-0520,62.01,58.6,63.96,"(-3.41, +1.95)",636.0,2025-02-15
llama-3.1-405b-instruct-fp8-no-sys-prompt,60.45,58.2,63.03,"(-2.25, +2.58)",635.0,2025-02-15
yi-large,59.78,57.71,62.57,"(-2.07, +2.79)",626.0,2025-02-15
deepseek-coder-v2,58.41,56.07,60.89,"(-2.34, +2.48)",578.0,2025-02-15
glm-4-0116,54.92,52.19,57.51,"(-2.73, +2.59)",622.0,2025-02-15
llama-3.1-70b-instruct,52.39,50.26,54.98,"(-2.13, +2.59)",628.0,2025-02-15
glm-4-air,51.19,48.77,53.31,"(-2.42, +2.12)",619.0,2025-02-15
claude-3-sonnet-20240229,50.72,47.79,53.75,"(-2.93, +3.03)",552.0,2025-02-15
qwen2-72b-instruct,50.18,48.09,52.19,"(-2.09, +2.01)",515.0,2025-02-15
gpt-4-0613,50.18,48.02,53.57,"(-2.16, +3.39)",354.0,2025-02-15
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-02-15
gemma-2-27b-it,48.16,45.42,50.43,"(-2.74, +2.27)",577.0,2025-02-15
gemini-1.5-pro-api-0409-preview,46.98,44.91,49.23,"(-2.07, +2.25)",478.0,2025-02-15
claude-3-haiku-20240307,46.23,43.48,48.94,"(-2.75, +2.71)",505.0,2025-02-15
mistral-large-2402,46.18,43.81,48.56,"(-2.37, +2.38)",400.0,2025-02-15
llama-3-70b-instruct,45.23,42.61,47.38,"(-2.62, +2.15)",591.0,2025-02-15
mixtral-8x22b-instruct-v0.1,44.81,42.03,47.27,"(-2.78, +2.46)",430.0,2025-02-15
qwen1.5-72b-chat,40.53,38.25,42.89,"(-2.28, +2.36)",474.0,2025-02-15
llama-3.1-nemotron-51b-instruct,40.48,38.26,42.65,"(-2.22, +2.17)",747.0,2025-02-15
gemini-1.5-flash-api-0514,40.45,37.8,42.63,"(-2.65, +2.18)",642.0,2025-02-15
mistral-next,40.05,37.32,43.14,"(-2.73, +3.09)",297.0,2025-02-15
mistral-medium,39.85,37.75,42.29,"(-2.10, +2.44)",485.0,2025-02-15
phi-3-medium-4k-instruct,39.49,37.24,41.56,"(-2.25, +2.07)",517.0,2025-02-15
command-r-plus,38.08,35.32,40.26,"(-2.76, +2.18)",541.0,2025-02-15
claude-2.0,37.23,34.68,39.55,"(-2.55, +2.32)",295.0,2025-02-15
claude-2.1,35.61,33.15,38.51,"(-2.46, +2.90)",290.0,2025-02-15
gpt-3.5-turbo-0613,35.45,32.99,38.08,"(-2.46, +2.63)",401.0,2025-02-15
gpt-3.5-turbo-0125,35.11,32.41,37.18,"(-2.70, +2.07)",329.0,2025-02-15
phi-3-small-8k-instruct,34.42,31.92,36.78,"(-2.50, +2.36)",568.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy,34.21,32.07,36.2,"(-2.14, +1.99)",638.0,2025-02-15
gemma-2-9b-it,34.07,31.81,36.4,"(-2.26, +2.33)",541.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy-checkpoint-1560,33.55,31.38,35.73,"(-2.17, +2.18)",644.0,2025-02-15
gpt-3.5-turbo-1106,33.34,31.17,35.95,"(-2.17, +2.61)",285.0,2025-02-15
