model,score,rating_q025,rating_q975,CI,avg_tokens,date
aya-expanse-32b,100.0,50.0,50.0,"(-50.00, +-50.00)",599.0,2025-03-05
o1-mini-2024-09-12,91.98,90.84,93.14,"(-1.14, +1.16)",1399.0,2025-03-05
o1-preview-2024-09-12,90.38,88.96,91.59,"(-1.42, +1.21)",1193.0,2025-03-05
claude-3-5-sonnet-20241022,85.22,83.59,86.99,"(-1.63, +1.77)",691.0,2025-03-05
athene-v2-chat,85.04,83.48,86.68,"(-1.56, +1.64)",884.0,2025-03-05
llama-3.1-nemotron-70b-instruct,84.91,83.2,86.31,"(-1.71, +1.40)",869.0,2025-03-05
gpt-4-turbo-2024-04-09,82.63,80.36,83.92,"(-2.27, +1.29)",662.0,2025-03-05
yi-lightning,81.55,79.88,83.46,"(-1.67, +1.91)",875.0,2025-03-05
claude-3-5-sonnet-20240620,79.35,77.17,81.64,"(-2.18, +2.29)",567.0,2025-03-05
gpt-4o-2024-05-13,79.21,77.2,80.94,"(-2.01, +1.73)",696.0,2025-03-05
qwen2.5-72b-instruct,78.05,76.59,79.84,"(-1.46, +1.79)",821.0,2025-03-05
gpt-4-0125-preview,77.96,75.48,79.92,"(-2.48, +1.96)",619.0,2025-03-05
gpt-4o-2024-08-06,77.89,75.9,79.91,"(-1.99, +2.02)",594.0,2025-03-05
athene-70b-0725,76.83,75.05,78.74,"(-1.78, +1.91)",683.0,2025-03-05
gpt-4o-mini-2024-07-18,74.94,73.06,76.98,"(-1.88, +2.04)",668.0,2025-03-05
gemini-1.5-pro-api-0514,71.96,70.0,74.21,"(-1.96, +2.25)",676.0,2025-03-05
yi-large-preview,71.48,68.81,74.32,"(-2.67, +2.84)",720.0,2025-03-05
mistral-large-2407,70.42,68.1,73.08,"(-2.32, +2.66)",623.0,2025-03-05
llama-3.1-405b-instruct-fp8,69.33,66.9,71.42,"(-2.43, +2.09)",658.0,2025-03-05
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,61.6,66.63,"(-2.60, +2.43)",635.0,2025-03-05
glm-4-0520,63.84,61.78,66.02,"(-2.06, +2.18)",636.0,2025-03-05
yi-large,63.7,61.49,66.11,"(-2.21, +2.41)",626.0,2025-03-05
deepseek-coder-v2,62.3,60.15,64.63,"(-2.15, +2.33)",578.0,2025-03-05
claude-3-opus-20240229,60.36,57.41,62.65,"(-2.95, +2.29)",541.0,2025-03-05
gemma-2-27b-it,57.51,54.85,59.76,"(-2.66, +2.25)",577.0,2025-03-05
llama-3.1-70b-instruct,55.73,53.08,58.19,"(-2.65, +2.46)",628.0,2025-03-05
glm-4-0116,55.72,52.31,58.35,"(-3.41, +2.63)",622.0,2025-03-05
gemini-1.5-pro-api-0409-preview,53.37,51.27,55.59,"(-2.10, +2.22)",478.0,2025-03-05
glm-4-air,50.88,47.8,53.01,"(-3.08, +2.13)",619.0,2025-03-05
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-03-05
gemini-1.5-flash-api-0514,49.61,47.47,52.04,"(-2.14, +2.43)",642.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,49.46,46.81,51.87,"(-2.65, +2.41)",733.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,49.26,47.11,52.43,"(-2.15, +3.17)",726.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,48.88,46.82,51.31,"(-2.06, +2.43)",653.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,47.09,44.6,49.87,"(-2.49, +2.78)",658.0,2025-03-05
qwen2-72b-instruct,46.86,44.56,49.35,"(-2.30, +2.49)",515.0,2025-03-05
claude-3-sonnet-20240229,46.8,44.63,49.43,"(-2.17, +2.63)",552.0,2025-03-05
llama-3-70b-instruct,46.57,43.95,48.69,"(-2.62, +2.12)",591.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy-checkpoint-1560,45.8,43.46,48.4,"(-2.34, +2.60)",644.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy,45.79,43.59,47.82,"(-2.20, +2.03)",638.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,45.71,43.23,48.04,"(-2.48, +2.33)",740.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,45.44,43.57,47.47,"(-1.87, +2.03)",680.0,2025-03-05
llama-3.1-nemotron-51b-instruct,45.41,42.23,47.66,"(-3.18, +2.25)",747.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,44.3,41.53,48.35,"(-2.77, +4.05)",639.0,2025-03-05
gemma-2-9b-it,41.99,39.83,44.44,"(-2.16, +2.45)",541.0,2025-03-05
claude-3-haiku-20240307,41.47,38.6,43.92,"(-2.87, +2.45)",505.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,41.09,38.08,43.23,"(-3.01, +2.14)",613.0,2025-03-05
gpt-4-0613,37.9,35.88,40.5,"(-2.02, +2.60)",354.0,2025-03-05
mistral-large-2402,37.71,35.41,39.94,"(-2.30, +2.23)",400.0,2025-03-05
mixtral-8x22b-instruct-v0.1,36.36,33.5,38.39,"(-2.86, +2.03)",430.0,2025-03-05
qwen1.5-72b-chat,36.12,33.86,38.65,"(-2.26, +2.53)",474.0,2025-03-05
phi-3-medium-4k-instruct,33.37,31.32,35.95,"(-2.05, +2.58)",517.0,2025-03-05
command-r-plus,33.07,30.71,35.36,"(-2.36, +2.29)",541.0,2025-03-05
mistral-medium,31.9,29.98,34.13,"(-1.92, +2.23)",485.0,2025-03-05
internlm2-20b-5-chat,31.2,28.81,33.24,"(-2.39, +2.04)",576.0,2025-03-05
phi-3-small-8k-instruct,29.77,27.6,32.08,"(-2.17, +2.31)",568.0,2025-03-05
mistral-next,27.37,25.19,29.39,"(-2.18, +2.02)",297.0,2025-03-05
gpt-3.5-turbo-0613,24.82,22.78,27.06,"(-2.04, +2.24)",401.0,2025-03-05
dbrx-instruct-preview,24.63,22.84,26.4,"(-1.79, +1.77)",415.0,2025-03-05
internlm2-20b-chat,24.45,22.54,26.68,"(-1.91, +2.23)",667.0,2025-03-05
claude-2.0,23.99,21.54,26.11,"(-2.45, +2.12)",295.0,2025-03-05
mixtral-8x7b-instruct-v0.1,23.4,21.22,25.62,"(-2.18, +2.22)",457.0,2025-03-05
gpt-3.5-turbo-0125,23.34,21.6,24.94,"(-1.74, +1.60)",329.0,2025-03-05
yi-34b-chat,23.15,21.12,24.8,"(-2.03, +1.65)",611.0,2025-03-05
starling-lm-7b-beta,23.01,21.05,24.79,"(-1.96, +1.78)",530.0,2025-03-05
claude-2.1,22.77,20.73,24.98,"(-2.04, +2.21)",290.0,2025-03-05
llama-3.1-8b-instruct,21.34,19.0,23.57,"(-2.34, +2.23)",861.0,2025-03-05
llama-3-8b-instruct,20.56,18.85,22.27,"(-1.71, +1.71)",585.0,2025-03-05
gpt-3.5-turbo-1106,18.87,16.94,20.65,"(-1.93, +1.78)",285.0,2025-03-05
gpt-3.5-turbo-0314,18.05,16.44,20.05,"(-1.61, +2.00)",334.0,2025-03-05
gemini-pro,17.8,15.77,19.58,"(-2.03, +1.78)",322.0,2025-03-05
snowflake-arctic-instruct,17.61,16.39,19.4,"(-1.22, +1.79)",365.0,2025-03-05
command-r,17.02,15.4,18.89,"(-1.62, +1.87)",432.0,2025-03-05
phi-3-mini-128k-instruct,15.43,13.62,16.82,"(-1.81, +1.39)",609.0,2025-03-05
tulu-2-dpo-70b,14.99,13.45,16.95,"(-1.54, +1.96)",550.0,2025-03-05
starling-lm-7b-alpha,12.8,11.52,14.59,"(-1.28, +1.79)",483.0,2025-03-05
mistral-7b-instruct,12.57,11.15,14.03,"(-1.42, +1.46)",541.0,2025-03-05
gemma-1.1-7b-it,12.09,10.85,13.51,"(-1.24, +1.42)",341.0,2025-03-05
llama-2-70b-chat,11.55,10.21,12.79,"(-1.34, +1.24)",595.0,2025-03-05
krikri-annealing-sft-stage2-run4,10.06,7.68,12.08,"(-2.38, +2.02)",630.0,2025-03-05
vicuna-33b,8.63,7.55,9.96,"(-1.08, +1.33)",451.0,2025-03-05
gemma-1.1-2b-it,3.37,2.74,4.04,"(-0.63, +0.67)",316.0,2025-03-05
